656,ENARA,2996,"14,9"
657,KARINA,2992,"32,1"
658,BRENDA,2977,"27,2"
659,"SUSANA MARIA",2976,"46,5"
660,"MARIA CAMINO",2968,"55,1"
661,RAHMA,2955,"51,2"
662,BASILISA,2954,"75,1"
663,"ANA TERESA",2947,"50,2"
664,"ALICIA MARIA",2943,"42,3"
665,"ANA LUCIA",2941,"36,2"
666,BENEDICTA,2938,73
667,GRETA,2932,11
668,"MARIA AMOR",2919,"57,1"
669,JERONIMA,2915,"69,5"
670,"MARIA GEMMA",2899,"51,4"
671,"ELISA MARIA",2898,"44,2"
672,BELINDA,2893,"38,7"
673,OFELIA,2892,67
674,"MARIA OLIVA",2886,"60,1"
675,"MARIA AGUSTINA",2882,"58,7"
676,MALENA,2878,"14,5"
677,MARIYA,2874,"49,5"
678,"DIANA MARIA",2870,"37,9"
679,IOANA,2868,"45,7"
680,CLEMENTINA,2867,"70,5"
681,CELSA,2852,"71,3"
682,LOUBNA,2851,"31,5"
683,ARANCHA,2846,"24,5"
684,IRAIA,2829,"13,4"
685,NATALIYA,2828,"47,1"
686,MARIELA,2822,"31,5"
687,SONSOLES,2816,"45,3"
688,NELIDA,2808,"59,3"
689,"MARIA CATALINA",2801,"56,1"
690,OLAIA,2797,"21,5"
691,MIRANDA,2775,"13,4"
692,FARAH,2764,"19,8"
693,"ESTHER MARIA",2759,"43,1"
694,"MARIA LEONOR",2754,"56,1"
695,"MARIA PAULA",2748,"42,2"
696,MENCIA,2744,"11,5"
697,"CARMEN DOLORES",2730,"54,3"
698,"ANA LUISA",2726,"50,1"
699,AZIZA,2724,"38,4"
700,CATERINA,2723,"34,8"
701,YESSICA,2714,"31,3"
702,ARANTZA,2701,"47,6"
703,ALAZNE,2698,"24,4"
704,ZINEB,2698,"30,1"
705,"MARIA LORETO",2697,"54,6"
706,"RAQUEL MARIA",2697,"41,7"
707,SVITLANA,2689,"48,3"
708,HABIBA,2688,"49,7"
709,"MARIA VIRTUDES",2678,"58,3"
710,QUERALT,2676,"14,3"
711,"ANA VICTORIA",2669,"38,2"
712,INDIA,2666,"4,5"
713,NANCY,2657,"47,1"
714,"MARIA AMELIA",2656,"61,6"
715,ENCARNACIO,2652,"71,8"
716,"MARIA SALOME",2648,"54,3"
717,ARANTZAZU,2644,"39,9"
718,BERNARDA,2644,"69,6"
719,ILHAM,2633,"29,5"
720,"MARIA LLANOS",2633,"52,9"
721,"RITA MARIA",2632,"49,4"
722,"MARIA VISITACION",2629,"66,7"
723,"MARIA ADORACION",2625,"64,3"
724,"PAULA ANDREA",2625,"33,7"
725,"MARIA IRENE",2623,"53,3"
726,"MARIA O",2620,"47,8"
727,"CARMEN DELIA",2612,"53,5"
728,ANUNCIACION,2611,74
729,FLORINDA,2604,"70,9"
730,"PATRICIA MARIA",2600,37
731,SAMANTHA,2600,21
732,ELOINA,2589,71
733,IDAIRA,2583,"16,9"
734,LUCRECIA,2563,"62,9"
735,"ANA PILAR",2548,"46,6"
736,VICTORIANA,2541,"74,8"
737,KAOUTAR,2526,"24,4"
738,GINA,2515,"21,4"
739,"MARIA FLOR",2503,"59,8"
740,MERIEM,2498,"30,4"
741,PRISCILA,2492,"39,4"
742,"PAOLA ANDREA",2485,"35,9"
743,"MARIA FUENSANTA",2480,"53,6"
744,YLENIA,2479,"18,3"
745,"MARIA SIERRA",2478,"55,5"
746,"MARIA COVADONGA",2476,"56,4"
747,"MARIA SANTOS",2474,"61,4"
748,ASMAE,2464,"26,7"
749,SELENE,2461,"21,6"
750,SANAE,2458,"30,8"
751,EKATERINA,2452,"34,3"
752,ISOLINA,2440,"73,8"
753,NOURA,2440,"31,6"
754,"MARIA CELESTE",2428,"43,9"
755,"MARIA MONSERRAT",2426,"54,1"
756,CRISTOBALINA,2410,"64,7"
757,"DOLORES MARIA",2398,"52,1"
758,KATIA,2389,"30,3"
759,"MARIA CAROLINA",2388,"43,9"
760,LOREA,2381,27
761,DAFNE,2379,"12,2"
762,INDIRA,2377,"13,3"
763,"MARIA ALBA",2377,"47,1"
764,"MARIA VANESSA",2373,"41,4"
765,YAMINA,2370,"49,3"
766,"ROSARIO MARIA",2367,"49,4"
767,"SANDRA MILENA",2354,41
768,ZURIÑE,2347,"31,8"
769,LIBERTAD,2346,"31,8"
770,DARIA,2341,"35,9"
771,YOUSRA,2341,"16,5"
772,PRIMITIVA,2336,"74,4"
773,RANIA,2334,12
