num,Name,Year
375,Niamh,2005
18,Niamh,2006
350,Niamh,2006
18,Niamh,2007
340,Niamh,2007
18,Niamh,2008
344,Niamh,2008
24,Niamh,2009
314,Niamh,2009
25,Niamh,2010
292,Niamh,2010
30,Niamh,2011
249,Niamh,2011
37,Niamh,2012
185,Niamh,2012
32,Niamh,2013
204,Niamh,2013
34,Niamh,2014
169,Niamh,2014
42,Niamh,2015
143,Niamh,2015
41,Niamh,2016
157,Niamh,2016
47,Niamh,2017
132,Niamh,2017
87,Molly,1998
42,Molly,1998
63,Molly,1999
74,Molly,1999
43,Molly,2000
105,Molly,2000
31,Molly,2001
172,Molly,2001
33,Molly,2002
179,Molly,2002
37,Molly,2003
163,Molly,2003
31,Molly,2004
206,Molly,2004
25,Molly,2005
261,Molly,2005
25,Molly,2006
235,Molly,2006
23,Molly,2007
281,Molly,2007
25,Molly,2008
268,Molly,2008
26,Molly,2009
268,Molly,2009
31,Molly,2010
243,Molly,2010
33,Molly,2011
229,Molly,2011
27,Molly,2012
251,Molly,2012
33,Molly,2013
197,Molly,2013
29,Molly,2014
196,Molly,2014
31,Molly,2015
202,Molly,2015
27,Molly,2016
210,Molly,2016
32,Molly,2017
185,Molly,2017
142,Julia,1998
23,Julia,1998
153,Julia,1999
23,Julia,1999
171,Julia,2000
22,Julia,2000
148,Julia,2001
28,Julia,2001
154,Julia,2002
26,Julia,2002
139,Julia,2003
32,Julia,2003
152,Julia,2004
30,Julia,2004
97,Julia,2005
61,Julia,2005
71,Julia,2006
85,Julia,2006
49,Julia,2007
140,Julia,2007
34,Julia,2008
213,Julia,2008
31,Julia,2009
236,Julia,2009
35,Julia,2010
213,Julia,2010
35,Julia,2011
213,Julia,2011
34,Julia,2012
196,Julia,2012
34,Julia,2013
186,Julia,2013
40,Julia,2014
156,Julia,2014
50,Julia,2015
130,Julia,2015
49,Julia,2016
128,Julia,2016
46,Julia,2017
133,Julia,2017
69,Robyn,1998
53,Robyn,1998
62,Robyn,1999
76,Robyn,1999
60,Robyn,2000
80,Robyn,2000
51,Robyn,2001
100,Robyn,2001
63,Robyn,2002
82,Robyn,2002
49,Robyn,2003
117,Robyn,2003
50,Robyn,2004
122,Robyn,2004
50,Robyn,2005
126,Robyn,2005
62,Robyn,2006
108,Robyn,2006
56,Robyn,2007
125,Robyn,2007
52,Robyn,2008
141,Robyn,2008
52,Robyn,2009
137,Robyn,2009
43,Robyn,2010
180,Robyn,2010
46,Robyn,2011
163,Robyn,2011
41,Robyn,2012
166,Robyn,2012
35,Robyn,2013
183,Robyn,2013
31,Robyn,2014
187,Robyn,2014
23,Robyn,2015
237,Robyn,2015
29,Robyn,2016
201,Robyn,2016
25,Robyn,2017
200,Robyn,2017
65,Erin,1998
60,Erin,1998
79,Erin,1999
58,Erin,1999
49,Erin,2000
91,Erin,2000
47,Erin,2001
120,Erin,2001
48,Erin,2002
117,Erin,2002
42,Erin,2003
135,Erin,2003
51,Erin,2004
119,Erin,2004
40,Erin,2005
158,Erin,2005
34,Erin,2006
196,Erin,2006
40,Erin,2007
189,Erin,2007
39,Erin,2008
193,Erin,2008
37,Erin,2009
204,Erin,2009
36,Erin,2010
210,Erin,2010
47,Erin,2011
159,Erin,2011
39,Erin,2012
177,Erin,2012
36,Erin,2013
180,Erin,2013
38,Erin,2014
158,Erin,2014
45,Erin,2015
136,Erin,2015
38,Erin,2016
165,Erin,2016
58,Erin,2017
109,Erin,2017
20,Roisin,1998
213,Roisin,1998
17,Roisin,1999
